Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 10824.0 72 214 681 94 0 NA NA 134 481 821 145 0 NA NA 4204 1467 2315 390 1641 NA NA 1514 1584 2464 588 1797 NA NA
1579388400.0 10842.0 61 187 664 94 0 NA NA 110 469 825 146 0 NA NA 1498 1144 2018 366 1612 NA NA 918 1251 2486 547 1759 NA NA
1579388400.0 110.0 59 80 425 NA NA NA NA 124 367 539 NA NA NA NA 790 425 1388 NA NA NA NA 587 470 2022 NA NA NA NA
1579388400.0 11224.0 74 217 685 0 NA NA NA 135 485 812 0 NA NA NA 4077 1479 2310 1650 NA NA NA 1386 1424 2598 1751 NA NA NA
1579388400.0 11623.0 63 190 660 82 0 NA NA 109 479 836 133 0 NA NA 1374 1438 2280 389 1722 NA NA 782 1583 2458 694 1834 NA NA
1579388400.0 11624.0 72 218 693 94 0 NA NA 120 482 844 146 0 NA NA 3453 1601 2504 457 1745 NA NA 1260 1525 2618 634 1959 NA NA
1579388400.0 11625.0 67 207 680 94 0 NA NA 114 473 846 143 0 NA NA 2669 1439 2361 493 1731 NA NA 1020 1550 2618 704 1993 NA NA
1579388400.0 11642.0 57 188 661 97 0 NA NA 104 479 827 145 0 NA NA 1158 1229 2127 464 1727 NA NA 748 1482 2473 858 1884 NA NA
1579388400.0 120.0 59 77 424 NA NA NA NA 144 367 535 NA NA NA NA 752 417 1375 NA NA NA NA 591 427 1957 NA NA NA NA
1579388400.0 122.0 55 74 414 NA NA NA NA 115 359 531 NA NA NA NA 854 302 1318 NA NA NA NA 597 460 1576 NA NA NA NA
1579388400.0 123.1 313 NA NA NA NA NA NA 510 NA NA NA NA NA NA 1035 NA NA NA NA NA NA 1196 NA NA NA NA NA NA
1579388400.0 123.2 319 NA NA NA NA NA NA 507 NA NA NA NA NA NA 1115 NA NA NA NA NA NA 1223 NA NA NA NA NA NA
1579388400.0 123.3 263 NA NA NA NA NA NA 501 NA NA NA NA NA NA 919 NA NA NA NA NA NA 1737 NA NA NA NA NA NA
1579388400.0 124.1 302 NA NA NA NA NA NA 500 NA NA NA NA NA NA 877 NA NA NA NA NA NA 951 NA NA NA NA NA NA
1579388400.0 124.2 312 NA NA NA NA NA NA 504 NA NA NA NA NA NA 997 NA NA NA NA NA NA 1061 NA NA NA NA NA NA
1579388400.0 124.4 305 NA NA NA NA NA NA 511 NA NA NA NA NA NA 891 NA NA NA NA NA NA 1744 NA NA NA NA NA NA
1579388400.0 124.5 310 NA NA NA NA NA NA 508 NA NA NA NA NA NA 893 NA NA NA NA NA NA 1320 NA NA NA NA NA NA
1579388400.0 124.6 265 NA NA NA NA NA NA 508 NA NA NA NA NA NA 870 NA NA NA NA NA NA 1388 NA NA NA NA NA NA
1579388400.0 126.0 61 79 423 NA NA NA NA 148 367 529 NA NA NA NA 1296 423 1379 NA NA NA NA 781 467 1640 NA NA NA NA
1579388400.0 127.0 60 79 425 NA NA NA NA 124 367 547 NA NA NA NA 1121 425 1375 NA NA NA NA 666 479 1635 NA NA NA NA
1579388400.0 128.0 57 80 421 NA NA NA NA 114 359 532 NA NA NA NA 719 426 1356 NA NA NA NA 568 525 1705 NA NA NA NA
1579388400.0 129.0 58 78 419 NA NA NA NA 122 359 528 NA NA NA NA 751 418 1359 NA NA NA NA 800 488 1691 NA NA NA NA
1579388400.0 130.0 60 81 423 NA NA NA NA 132 359 536 NA NA NA NA 772 431 1366 NA NA NA NA 526 442 1692 NA NA NA NA
1579388400.0 1301.0 83 96 212 NA NA NA NA 151 376 346 NA NA NA NA 1483 516 1037 NA NA NA NA 860 525 1265 NA NA NA NA
1579388400.0 1306.0 NA 94 547 0 NA NA NA NA 380 673 0 NA NA NA NA 459 1471 556 NA NA NA NA 445 2003 712 NA NA NA
1579388400.0 1307.0 NA 96 182 47 0 NA NA NA 379 259 86 0 NA NA NA 495 573 124 201 NA NA NA 592 842 216 261 NA NA
1579388400.0 1308.0 NA 91 176 44 0 NA NA NA 371 258 85 0 NA NA NA 428 480 122 208 NA NA NA 488 671 203 300 NA NA
1579388400.0 131.0 61 79 427 NA NA NA NA 141 367 525 NA NA NA NA 1249 430 1383 NA NA NA NA 655 439 1690 NA NA NA NA
1579388400.0 1310.0 NA 103 560 0 NA NA NA NA 381 670 0 NA NA NA NA 499 1587 586 NA NA NA NA 461 2056 794 NA NA NA
1579388400.0 1311.0 NA 96 483 0 57 NA NA NA 381 595 0 104 NA NA NA 468 1053 560 199 NA NA NA 441 1518 627 416 NA NA
1579388400.0 1314.0 NA 102 560 0 NA NA NA NA 373 669 0 NA NA NA NA 490 1592 584 NA NA NA NA 582 2093 781 NA NA NA
1579388400.0 1315.0 NA 94 547 0 NA NA NA NA 380 664 0 NA NA NA NA 466 1473 554 NA NA NA NA 442 1947 715 NA NA NA
1579388400.0 1317.0 NA 92 552 0 NA NA NA NA 380 670 0 NA NA NA NA 439 1459 561 NA NA NA NA 470 1893 696 NA NA NA
1579388400.0 1321.0 NA 94 552 0 NA NA NA NA 380 656 0 NA NA NA NA 478 1502 560 NA NA NA NA 457 1998 720 NA NA NA
1579388400.0 1322.0 NA 95 551 0 NA NA NA NA 373 671 0 NA NA NA NA 468 1522 565 NA NA NA NA 419 1998 737 NA NA NA
1579388400.0 1323.0 NA 93 540 0 NA NA NA NA 373 673 0 NA NA NA NA 450 1458 559 NA NA NA NA 479 2007 716 NA NA NA
1579388400.0 1325.1 NA 106 220 0 NA NA NA NA 381 293 0 NA NA NA NA 519 633 259 NA NA NA NA 563 814 333 NA NA NA
1579388400.0 1325.2 NA 105 566 0 NA NA NA NA 381 681 0 NA NA NA NA 561 1682 578 NA NA NA NA 517 2004 757 NA NA NA
1579388400.0 1325.3 NA 107 204 0 NA NA NA NA 373 285 0 NA NA NA NA 522 631 240 NA NA NA NA 569 981 323 NA NA NA
1579388400.0 1325.4 NA 106 562 0 NA NA NA NA 380 687 0 NA NA NA NA 526 1701 579 NA NA NA NA 498 2092 744 NA NA NA
1579388400.0 1325.5 NA 191 0 NA NA NA NA NA 283 0 NA NA NA NA NA 4249 115 NA NA NA NA NA 3875 190 NA NA NA NA
1579388400.0 1325.51 NA 175 0 NA NA NA NA NA 245 0 NA NA NA NA NA 1475 122 NA NA NA NA NA 1880 200 NA NA NA NA
1579388400.0 1325.6 NA 164 NA NA NA NA NA NA 244 NA NA NA NA NA NA 2093 NA NA NA NA NA NA 1606 NA NA NA NA NA
1579388400.0 1325.7 NA 163 0 NA NA NA NA NA 237 0 NA NA NA NA NA 2159 106 NA NA NA NA NA 2058 151 NA NA NA NA
1579388400.0 1325.8 NA 165 0 NA NA NA NA NA 236 0 NA NA NA NA NA 2171 112 NA NA NA NA NA 2089 182 NA NA NA NA
1579388400.0 1327.0 NA 100 559 0 NA NA NA NA 380 660 0 NA NA NA NA 489 1547 579 NA NA NA NA 501 2033 758 NA NA NA
1579388400.0 1328.0 NA 104 558 0 NA NA NA NA 381 671 0 NA NA NA NA 507 1592 573 NA NA NA NA 486 1968 765 NA NA NA
1579388400.0 1329.0 NA 98 555 0 NA NA NA NA 373 660 0 NA NA NA NA 484 1522 573 NA NA NA NA 485 2006 729 NA NA NA
1579388400.0 1329.1 NA 179 0 NA NA NA NA NA 252 0 NA NA NA NA NA 1791 111 NA NA NA NA NA 1484 178 NA NA NA NA
1579388400.0 1330.0 NA 99 563 0 NA NA NA NA 380 672 0 NA NA NA NA 494 1534 575 NA NA NA NA 494 2139 741 NA NA NA
1579388400.0 1332.0 NA 106 563 0 NA NA NA NA 381 685 0 NA NA NA NA 501 1596 577 NA NA NA NA 589 1936 719 NA NA NA
1579388400.0 1336.0 NA 105 561 0 NA NA NA NA 380 667 0 NA NA NA NA 557 1996 578 NA NA NA NA 554 2260 732 NA NA NA
1579388400.0 134.0 NA 422 32 0 NA NA NA NA 512 76 0 NA NA NA NA 3034 119 65 NA NA NA NA 2806 231 94 NA NA NA
1579388400.0 134.813 NA 180 67 0 NA NA NA NA 264 109 0 NA NA NA NA 817 183 213 NA NA NA NA 773 277 300 NA NA NA
1579388400.0 134.911 NA 30 499 0 NA NA NA NA 88 609 0 NA NA NA NA 287 4772 595 NA NA NA NA 307 2665 755 NA NA NA
1579388400.0 1340.0 NA 101 555 0 NA NA NA NA 373 681 0 NA NA NA NA 472 1514 572 NA NA NA NA 483 2060 752 NA NA NA
1579388400.0 1347.0 NA 102 558 0 NA NA NA NA 373 672 0 NA NA NA NA 525 1562 576 NA NA NA NA 655 1957 706 NA NA NA
1579388400.0 1348.0 NA 100 555 0 NA NA NA NA 373 658 0 NA NA NA NA 488 1539 572 NA NA NA NA 498 1991 731 NA NA NA
1579388400.0 135.1 335 0 137 NA NA NA NA 511 0 211 NA NA NA NA 1172 234 589 NA NA NA NA 1230 358 738 NA NA NA NA
1579388400.0 135.11 340 0 140 NA NA NA NA 511 0 217 NA NA NA NA 1431 240 632 NA NA NA NA 1356 401 680 NA NA NA NA
1579388400.0 135.12 328 0 137 NA NA NA NA 511 0 211 NA NA NA NA 1031 240 565 NA NA NA NA 1231 386 670 NA NA NA NA
1579388400.0 135.13 332 0 NA NA NA NA NA 560 0 NA NA NA NA NA 1057 243 NA NA NA NA NA 1154 308 NA NA NA NA NA
1579388400.0 135.2 279 0 136 NA NA NA NA 518 0 206 NA NA NA NA 969 221 543 NA NA NA NA 1204 315 626 NA NA NA NA
1579388400.0 135.3 276 0 135 NA NA NA NA 518 0 208 NA NA NA NA 965 219 553 NA NA NA NA 1177 320 656 NA NA NA NA
1579388400.0 135.4 323 0 135 NA NA NA NA 518 0 211 NA NA NA NA 1095 221 565 NA NA NA NA 1339 275 777 NA NA NA NA
1579388400.0 135.5 322 0 135 NA NA NA NA 511 0 211 NA NA NA NA 1024 225 586 NA NA NA NA 1190 307 982 NA NA NA NA
1579388400.0 135.6 330 0 135 NA NA NA NA 511 0 211 NA NA NA NA 1104 231 567 NA NA NA NA 1323 333 675 NA NA NA NA
1579388400.0 135.7 328 0 137 NA NA NA NA 518 0 212 NA NA NA NA 1045 229 570 NA NA NA NA 1273 359 672 NA NA NA NA
1579388400.0 135.8 141 NA NA NA NA NA NA 233 NA NA NA NA NA NA 372 NA NA NA NA NA NA 470 NA NA NA NA NA NA
1579388400.0 135.9 300 0 132 NA NA NA NA 511 0 206 NA NA NA NA 969 220 553 NA NA NA NA 1236 320 745 NA NA NA NA
1579388400.0 1351.0 NA 102 562 0 NA NA NA NA 381 667 0 NA NA NA NA 501 1583 579 NA NA NA NA 465 2070 706 NA NA NA
1579388400.0 1353.0 NA 104 559 0 NA NA NA NA 381 669 0 NA NA NA NA 526 1627 579 NA NA NA NA 487 2118 755 NA NA NA
1579388400.0 1354.0 NA 104 563 0 NA NA NA NA 373 671 0 NA NA NA NA 530 1583 571 NA NA NA NA 495 2040 701 NA NA NA
1579388400.0 1355.0 NA 107 561 0 NA NA NA NA 381 671 0 NA NA NA NA 562 1627 575 NA NA NA NA 503 2106 688 NA NA NA
1579388400.0 136.733 NA 192 68 0 NA NA NA NA 298 118 0 NA NA NA NA 929 330 216 NA NA NA NA 1048 429 288 NA NA NA
1579388400.0 136.735 NA 77 446 0 NA NA NA NA 137 541 0 NA NA NA NA 762 2044 603 NA NA NA NA 565 2140 765 NA NA NA
1579388400.0 136.7611 NA 199 0 NA NA NA NA NA 282 0 NA NA NA NA NA 4768 115 NA NA NA NA NA 3941 196 NA NA NA NA
1579388400.0 136.7721 NA 193 0 NA NA NA NA NA 278 0 NA NA NA NA NA 4449 104 NA NA NA NA NA 3769 134 NA NA NA NA
1579388400.0 136.7722 NA 169 0 NA NA NA NA NA 250 0 NA NA NA NA NA 1237 105 NA NA NA NA NA 1039 157 NA NA NA NA
1579388400.0 136.7801 NA 101 0 NA NA NA NA NA 160 0 NA NA NA NA NA 363 169 NA NA NA NA NA 542 254 NA NA NA NA
1579388400.0 136.7802 NA 130 0 NA NA NA NA NA 184 0 NA NA NA NA NA 352 182 NA NA NA NA NA 672 278 NA NA NA NA
1579388400.0 136.791 NA 196 538 0 NA NA NA NA 316 663 0 NA NA NA NA 1652 2884 1058 NA NA NA NA 1648 2665 1131 NA NA NA
1579388400.0 136.803 NA 201 536 0 NA NA NA NA 310 674 0 NA NA NA NA 1617 2924 1088 NA NA NA NA 1668 2893 1186 NA NA NA
1579388400.0 136.8311 NA 185 0 NA NA NA NA NA 274 0 NA NA NA NA NA 2065 118 NA NA NA NA NA 1596 193 NA NA NA NA
1579388400.0 1361.0 88 100 564 0 NA NA NA 158 377 682 0 NA NA NA 3374 553 1582 575 NA NA NA 1905 451 1951 695 NA NA NA
1579388400.0 1361.17 69 201 670 0 NA NA NA 132 469 825 0 NA NA NA 3447 1350 2179 1652 NA NA NA 2017 1214 2437 1866 NA NA NA
1579388400.0 1362.0 85 100 560 0 NA NA NA 161 377 677 0 NA NA NA 3909 501 1571 576 NA NA NA 2758 454 2066 729 NA NA NA
1579388400.0 1362.17 66 197 670 0 NA NA NA 128 474 830 0 NA NA NA 3776 1347 2125 1662 NA NA NA 2786 1340 2452 1885 NA NA NA
1579388400.0 1363.0 91 101 561 0 NA NA NA 162 369 684 0 NA NA NA 4164 506 1580 574 NA NA NA 2760 441 1967 726 NA NA NA
1579388400.0 1363.17 70 202 673 0 NA NA NA 130 477 834 0 NA NA NA 4279 1358 2219 1642 NA NA NA 2721 1345 2403 1792 NA NA NA
1579388400.0 1365.0 NA 103 557 0 NA NA NA NA 381 670 0 NA NA NA NA 523 1571 577 NA NA NA NA 655 1950 715 NA NA NA
1579388400.0 140.51 NA 37 320 0 NA NA NA NA 111 433 0 NA NA NA NA 462 1682 251 NA NA NA NA 408 1308 313 NA NA NA
1579388400.0 140.52 NA 354 323 0 NA NA NA NA 484 447 0 NA NA NA NA 2031 1723 248 NA NA NA NA 1362 1144 305 NA NA NA
1579388400.0 140.54 NA 332 0 NA NA NA NA NA 453 0 NA NA NA NA NA 1334 330 NA NA NA NA NA 1613 388 NA NA NA NA
1579388400.0 144.6 NA 409 NA NA NA NA NA NA 501 NA NA NA NA NA NA 2406 NA NA NA NA NA NA 2364 NA NA NA NA NA
1579388400.0 148.0 103 140 648 0 NA NA NA 155 385 792 0 NA NA NA 6885 611 3386 931 NA NA NA 7394 637 3259 1168 NA NA NA
1579388400.0 150.1 NA 106 330 0 NA NA NA NA 381 453 0 NA NA NA NA 337 961 353 NA NA NA NA 443 1448 402 NA NA NA
1579388400.0 150.2 NA 94 323 0 NA NA NA NA 381 440 0 NA NA NA NA 564 973 355 NA NA NA NA 600 1394 415 NA NA NA
1579388400.0 150.3 NA 98 326 0 NA NA NA NA 381 453 0 NA NA NA NA 334 940 354 NA NA NA NA 385 1455 407 NA NA NA
1579388400.0 2017.1 379 0 140 NA NA NA NA 550 0 211 NA NA NA NA 1229 268 581 NA NA NA NA 1296 433 824 NA NA NA NA
1579388400.0 2017.11 389 0 142 NA NA NA NA 542 0 217 NA NA NA NA 1481 274 642 NA NA NA NA 1561 488 702 NA NA NA NA
1579388400.0 2017.12 375 0 139 NA NA NA NA 550 0 212 NA NA NA NA 1168 263 581 NA NA NA NA 1525 450 787 NA NA NA NA
1579388400.0 2017.13 398 0 NA NA NA NA NA 602 0 NA NA NA NA NA 1161 271 NA NA NA NA NA 1124 327 NA NA NA NA NA
1579388400.0 2017.2 326 0 136 NA NA NA NA 542 0 207 NA NA NA NA 1031 250 548 NA NA NA NA 1189 349 989 NA NA NA NA
1579388400.0 2017.3 326 0 134 NA NA NA NA 550 0 207 NA NA NA NA 984 241 566 NA NA NA NA 1313 293 768 NA NA NA NA
1579388400.0 2017.4 374 0 138 NA NA NA NA 547 0 212 NA NA NA NA 1137 258 575 NA NA NA NA 1329 333 789 NA NA NA NA
1579388400.0 2017.5 371 0 140 NA NA NA NA 554 0 213 NA NA NA NA 1139 256 554 NA NA NA NA 1277 348 661 NA NA NA NA
1579388400.0 2017.6 380 0 137 NA NA NA NA 542 0 214 NA NA NA NA 1169 260 580 NA NA NA NA 1334 365 743 NA NA NA NA
1579388400.0 2017.7 373 0 141 NA NA NA NA 550 0 211 NA NA NA NA 1099 263 552 NA NA NA NA 1243 461 644 NA NA NA NA
1579388400.0 2017.8 182 NA NA NA NA NA NA 273 NA NA NA NA NA NA 419 NA NA NA NA NA NA 408 NA NA NA NA NA NA
