Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1579388400.0 103.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 640 198 1194 NA NA NA NA NA 520 187 1654 NA NA NA NA NA
1579388400.0 10424.0 NA 215 678 0 NA NA NA NA NA 480 817 0 NA NA NA NA NA 1437 2224 1635 NA NA NA NA NA 1435 2217 1760 NA NA NA NA
1579388400.0 105.0 89 82 30 NA NA NA NA NA 184 367 65 NA NA NA NA NA 1550 439 97 NA NA NA NA NA 756 348 142 NA NA NA NA NA
1579388400.0 106.0 43 0 0 NA NA NA NA NA 90 0 0 NA NA NA NA NA 608 199 1182 NA NA NA NA NA 449 180 1628 NA NA NA NA NA
1579388400.0 10823.0 70 191 665 83 0 NA NA NA 123 481 826 133 0 NA NA NA 1602 1249 2004 350 1596 NA NA NA 785 1233 2431 503 1890 NA NA NA
1579388400.0 10824.0 72 215 686 96 0 NA NA NA 134 478 846 145 0 NA NA NA 3985 1440 2309 366 1628 NA NA NA 1553 1388 2810 437 1711 NA NA NA
1579388400.0 10825.0 69 207 675 84 0 NA NA NA 128 485 809 135 0 NA NA NA 3291 1376 2147 352 1629 NA NA NA 1204 1396 2444 454 1716 NA NA NA
1579388400.0 10842.0 57 190 660 94 0 NA NA NA 110 485 781 145 0 NA NA NA 1392 1091 1952 393 1619 NA NA NA 735 1166 2182 800 1788 NA NA NA
1579388400.0 110.0 60 81 425 NA NA NA NA NA 124 367 540 NA NA NA NA NA 824 415 1325 NA NA NA NA NA 504 530 1566 NA NA NA NA NA
1579388400.0 111.0 81 85 431 NA NA NA NA NA 184 366 552 NA NA NA NA NA 1683 380 1354 NA NA NA NA NA 998 346 1712 NA NA NA NA NA
1579388400.0 11224.0 72 219 687 0 NA NA NA NA 135 472 844 0 NA NA NA NA 4240 1463 2388 1654 NA NA NA NA 1523 1300 2291 1771 NA NA NA NA
1579388400.0 11623.0 62 194 668 83 0 NA NA NA 110 479 835 133 0 NA NA NA 1445 1391 2175 365 1700 NA NA NA 703 1390 2454 660 1838 NA NA NA
1579388400.0 11625.0 66 204 680 86 0 NA NA NA 114 480 844 134 0 NA NA NA 2663 1472 2321 375 1711 NA NA NA 1017 1453 2625 507 1848 NA NA NA
1579388400.0 11642.0 60 195 668 94 0 NA NA NA 108 479 837 145 0 NA NA NA 1353 1299 2092 520 1697 NA NA NA 743 1294 2125 940 1848 NA NA NA
1579388400.0 120.0 59 78 420 NA NA NA NA NA 144 359 538 NA NA NA NA NA 779 410 1347 NA NA NA NA NA 506 318 1622 NA NA NA NA NA
1579388400.0 122.0 51 74 421 NA NA NA NA NA 106 359 539 NA NA NA NA NA 731 297 1323 NA NA NA NA NA 499 324 1585 NA NA NA NA NA
1579388400.0 123.1 318 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 1002 NA NA NA NA NA NA NA 924 NA NA NA NA NA NA NA
1579388400.0 123.2 319 NA NA NA NA NA NA NA 506 NA NA NA NA NA NA NA 1090 NA NA NA NA NA NA NA 949 NA NA NA NA NA NA NA
1579388400.0 123.3 265 NA NA NA NA NA NA NA 500 NA NA NA NA NA NA NA 853 NA NA NA NA NA NA NA 1236 NA NA NA NA NA NA NA
1579388400.0 124.1 306 NA NA NA NA NA NA NA 509 NA NA NA NA NA NA NA 882 NA NA NA NA NA NA NA 1233 NA NA NA NA NA NA NA
1579388400.0 124.2 314 NA NA NA NA NA NA NA 509 NA NA NA NA NA NA NA 989 NA NA NA NA NA NA NA 926 NA NA NA NA NA NA NA
1579388400.0 124.4 305 NA NA NA NA NA NA NA 501 NA NA NA NA NA NA NA 887 NA NA NA NA NA NA NA 870 NA NA NA NA NA NA NA
1579388400.0 124.5 305 NA NA NA NA NA NA NA 508 NA NA NA NA NA NA NA 888 NA NA NA NA NA NA NA 860 NA NA NA NA NA NA NA
1579388400.0 124.6 266 NA NA NA NA NA NA NA 500 NA NA NA NA NA NA NA 891 NA NA NA NA NA NA NA 1823 NA NA NA NA NA NA NA
1579388400.0 126.0 63 79 425 NA NA NA NA NA 148 359 531 NA NA NA NA NA 1271 415 1364 NA NA NA NA NA 705 381 1564 NA NA NA NA NA
1579388400.0 127.0 59 79 432 NA NA NA NA NA 124 367 537 NA NA NA NA NA 1161 412 1334 NA NA NA NA NA 737 373 1608 NA NA NA NA NA
1579388400.0 128.0 57 89 421 NA NA NA NA NA 114 367 530 NA NA NA NA NA 777 416 1338 NA NA NA NA NA 469 521 1511 NA NA NA NA NA
1579388400.0 129.0 58 78 421 NA NA NA NA NA 129 367 539 NA NA NA NA NA 772 416 1339 NA NA NA NA NA 501 550 1593 NA NA NA NA NA
1579388400.0 13.0 NA 90 442 0 NA NA NA NA NA 371 547 0 NA NA NA NA NA 388 1903 449 NA NA NA NA NA 351 1637 533 NA NA NA NA
1579388400.0 130.0 60 81 424 NA NA NA NA NA 132 359 529 NA NA NA NA NA 816 408 1343 NA NA NA NA NA 655 365 1746 NA NA NA NA NA
1579388400.0 1301.0 83 95 224 NA NA NA NA NA 151 369 319 NA NA NA NA NA 1402 463 1032 NA NA NA NA NA 1038 364 1718 NA NA NA NA NA
1579388400.0 1306.0 NA 103 545 0 NA NA NA NA NA 380 679 0 NA NA NA NA NA 434 1444 561 NA NA NA NA NA 357 1620 806 NA NA NA NA
1579388400.0 1307.0 NA 91 183 44 0 NA NA NA NA 371 260 86 0 NA NA NA NA 456 553 130 212 NA NA NA NA 426 699 302 323 NA NA NA
1579388400.0 1308.0 NA 91 177 45 0 NA NA NA NA 371 262 85 0 NA NA NA NA 409 480 128 212 NA NA NA NA 353 644 278 293 NA NA NA
1579388400.0 1309.0 NA 105 570 0 NA NA NA NA NA 380 685 0 NA NA NA NA NA 530 1696 570 NA NA NA NA NA 520 1870 624 NA NA NA NA
1579388400.0 131.0 61 80 431 NA NA NA NA NA 141 367 527 NA NA NA NA NA 1238 423 1360 NA NA NA NA NA 587 370 1614 NA NA NA NA NA
1579388400.0 1310.0 NA 102 561 0 NA NA NA NA NA 381 667 0 NA NA NA NA NA 490 1569 569 NA NA NA NA NA 573 1962 634 NA NA NA NA
1579388400.0 1311.0 NA 97 483 0 57 NA NA NA NA 380 600 0 105 NA NA NA NA 451 1037 572 194 NA NA NA NA 396 1323 660 312 NA NA NA
1579388400.0 1312.0 NA 102 563 0 NA NA NA NA NA 373 674 0 NA NA NA NA NA 499 1623 573 NA NA NA NA NA 476 1968 637 NA NA NA NA
1579388400.0 1313.0 NA 107 570 0 NA NA NA NA NA 373 674 0 NA NA NA NA NA 450 1936 569 NA NA NA NA NA 491 2043 628 NA NA NA NA
1579388400.0 1314.0 NA 102 560 0 NA NA NA NA NA 381 666 0 NA NA NA NA NA 508 1554 569 NA NA NA NA NA 559 1624 621 NA NA NA NA
1579388400.0 1315.0 NA 94 552 0 NA NA NA NA NA 380 656 0 NA NA NA NA NA 445 1438 552 NA NA NA NA NA 418 1725 617 NA NA NA NA
1579388400.0 1316.0 NA 94 555 0 NA NA NA NA NA 381 670 0 NA NA NA NA NA 453 1517 547 NA NA NA NA NA 562 1929 595 NA NA NA NA
1579388400.0 1317.0 NA 93 547 0 NA NA NA NA NA 380 676 0 NA NA NA NA NA 422 1466 546 NA NA NA NA NA 359 1834 588 NA NA NA NA
1579388400.0 1318.0 NA 93 559 0 NA NA NA NA NA 380 671 0 NA NA NA NA NA 430 1439 543 NA NA NA NA NA 355 1715 598 NA NA NA NA
1579388400.0 1319.0 NA 93 557 0 NA NA NA NA NA 380 663 0 NA NA NA NA NA 452 1465 542 NA NA NA NA NA 450 1889 578 NA NA NA NA
1579388400.0 1320.0 NA 95 553 0 NA NA NA NA NA 380 670 0 NA NA NA NA NA 458 1472 552 NA NA NA NA NA 375 1805 612 NA NA NA NA
1579388400.0 1321.0 NA 97 554 0 NA NA NA NA NA 373 682 0 NA NA NA NA NA 472 1478 557 NA NA NA NA NA 488 1754 664 NA NA NA NA
1579388400.0 1322.0 NA 95 554 0 NA NA NA NA NA 380 681 0 NA NA NA NA NA 456 1501 551 NA NA NA NA NA 516 1785 680 NA NA NA NA
1579388400.0 1323.0 NA 93 542 0 NA NA NA NA NA 380 653 0 NA NA NA NA NA 434 1428 550 NA NA NA NA NA 374 1772 635 NA NA NA NA
1579388400.0 1324.0 NA 105 567 0 NA NA NA NA NA 381 667 0 NA NA NA NA NA 493 1618 565 NA NA NA NA NA 595 1811 612 NA NA NA NA
