Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 1.0 87 82 145 NA NA NA NA 184 367 244 NA NA NA NA 1380 350 237 NA NA NA NA 668 237 255 NA NA NA NA
1579388400.0 10001.0 NA 188 652 81 0 NA NA NA 476 823 133 0 NA NA NA 505 878 172 1292 NA NA NA 340 890 269 1328 NA NA
1579388400.0 10002.0 NA 193 652 89 0 NA NA NA 476 815 133 0 NA NA NA 530 899 167 1298 NA NA NA 433 882 185 1336 NA NA
1579388400.0 10003.0 NA 194 655 83 0 NA NA NA 484 813 132 0 NA NA NA 553 914 171 1357 NA NA NA 440 864 204 1388 NA NA
1579388400.0 10004.0 NA 188 650 81 0 NA NA NA 476 819 132 0 NA NA NA 491 884 167 1296 NA NA NA 369 844 179 1331 NA NA
1579388400.0 10005.0 NA 190 650 80 0 NA NA NA 473 814 133 0 NA NA NA 515 868 170 1294 NA NA NA 436 869 205 1348 NA NA
1579388400.0 10006.0 NA 187 651 80 0 NA NA NA 469 809 133 0 NA NA NA 491 865 178 1296 NA NA NA 333 893 260 1327 NA NA
1579388400.0 10007.0 NA 190 653 91 0 NA NA NA 470 809 144 0 NA NA NA 546 887 186 1298 NA NA NA 410 814 236 1338 NA NA
1579388400.0 10008.0 NA 190 650 90 0 NA NA NA 482 810 143 0 NA NA NA 542 924 185 1305 NA NA NA 453 910 200 1365 NA NA
1579388400.0 10009.0 NA 191 654 97 0 NA NA NA 470 812 143 0 NA NA NA 555 937 187 1301 NA NA NA 407 949 253 1345 NA NA
1579388400.0 1002.0 NA 466 64 NA NA NA NA NA 543 123 NA NA NA NA NA 1796 282 NA NA NA NA NA 916 180 NA NA NA NA
1579388400.0 10023.0 NA 193 652 80 0 NA NA NA 479 806 132 0 NA NA NA 523 887 167 1301 NA NA NA 379 887 233 1338 NA NA
1579388400.0 10024.0 NA 223 677 93 0 NA NA NA 478 834 145 0 NA NA NA 665 1165 192 1343 NA NA NA 759 1262 219 1370 NA NA
1579388400.0 10024.1 NA 213 268 0 NA NA NA NA 482 395 0 NA NA NA NA 709 417 196 NA NA NA NA 513 399 208 NA NA NA
1579388400.0 10024.2 NA 216 668 0 NA NA NA NA 470 826 0 NA NA NA NA 669 1148 1316 NA NA NA NA 500 934 1359 NA NA NA
1579388400.0 10024.3 NA 212 240 0 NA NA NA NA 476 375 0 NA NA NA NA 707 407 163 NA NA NA NA 471 452 172 NA NA NA
1579388400.0 10024.4 NA 216 679 0 NA NA NA NA 479 835 0 NA NA NA NA 710 1164 1330 NA NA NA NA 480 1020 1408 NA NA NA
1579388400.0 10024.5 NA 216 267 0 NA NA NA NA 469 371 0 NA NA NA NA 709 422 194 NA NA NA NA 449 414 209 NA NA NA
1579388400.0 10024.6 NA 214 670 0 NA NA NA NA 470 826 0 NA NA NA NA 713 1148 1315 NA NA NA NA 593 1042 1349 NA NA NA
1579388400.0 10025.0 NA 201 663 81 0 NA NA NA 476 825 132 0 NA NA NA 621 1003 181 1315 NA NA NA 441 886 262 1354 NA NA
1579388400.0 10026.0 NA 227 680 85 0 NA NA NA 469 844 133 0 NA NA NA 754 1308 174 1325 NA NA NA 745 1610 195 1352 NA NA
1579388400.0 1004.0 NA 347 357 0 0 0 0 NA 448 444 0 0 0 0 NA 506 343 7 21 478 490 NA 532 355 40 78 491 497
1579388400.0 10042.0 NA 208 664 96 0 NA NA NA 476 823 142 0 NA NA NA 596 1015 189 1337 NA NA NA 707 1560 211 1378 NA NA
1579388400.0 10059.0 NA 235 685 91 0 NA NA NA 470 839 142 0 NA NA NA 774 1626 193 1331 NA NA NA 642 1910 240 1349 NA NA
1579388400.0 10071.0 NA 223 672 96 0 NA NA NA 480 824 142 0 NA NA NA 673 1212 191 1323 NA NA NA 780 1584 244 1346 NA NA
1579388400.0 101.0 82 NA NA NA NA NA NA 149 NA NA NA NA NA NA 691 NA NA NA NA NA NA 705 NA NA NA NA NA NA
1579388400.0 1010.0 NA 24 76 0 NA NA NA NA 70 121 0 NA NA NA NA 11 76 24 NA NA NA NA 31 78 52 NA NA NA
1579388400.0 102.0 83 NA NA NA NA NA NA 149 NA NA NA NA NA NA 527 NA NA NA NA NA NA 536 NA NA NA NA NA NA
1579388400.0 10224.0 NA 359 976 0 NA NA NA NA 531 1174 0 NA NA NA NA 3268 4708 1367 NA NA NA NA 5448 2682 1419 NA NA NA
1579388400.0 10225.0 NA 320 941 0 NA NA NA NA 536 1124 0 NA NA NA NA 3477 4137 1343 NA NA NA NA 3899 2459 1390 NA NA NA
1579388400.0 103.0 42 0 0 NA NA NA NA 89 0 0 NA NA NA NA 593 106 267 NA NA NA NA 362 47 340 NA NA NA NA
1579388400.0 10424.0 NA 213 669 0 NA NA NA NA 469 830 0 NA NA NA NA 665 1144 1375 NA NA NA NA 420 844 1413 NA NA NA
1579388400.0 106.0 42 0 0 NA NA NA NA 89 0 0 NA NA NA NA 623 104 270 NA NA NA NA 381 52 320 NA NA NA NA
1579388400.0 10823.0 69 194 654 81 0 NA NA 123 466 813 133 0 NA NA 1634 539 939 166 1319 NA NA 902 338 897 210 1358 NA NA
1579388400.0 10824.0 72 214 678 97 0 NA NA 133 475 834 144 0 NA NA 3874 701 1174 193 1330 NA NA 1234 486 980 278 1352 NA NA
1579388400.0 10825.0 67 203 667 82 0 NA NA 127 472 823 133 0 NA NA 2825 655 1041 173 1322 NA NA 1098 462 898 207 1340 NA NA
1579388400.0 10826.0 75 216 678 91 0 NA NA 136 480 831 143 0 NA NA 5409 783 1431 205 1335 NA NA 1907 446 1093 206 1371 NA NA
1579388400.0 10842.0 58 193 653 101 0 NA NA 110 466 806 142 0 NA NA 1112 403 859 191 1311 NA NA 671 479 876 387 1342 NA NA
1579388400.0 110.0 59 83 455 NA NA NA NA 123 360 555 NA NA NA NA 750 325 425 NA NA NA NA 378 321 514 NA NA NA NA
1579388400.0 111.0 87 84 455 NA NA NA NA 183 368 542 NA NA NA NA 1614 268 441 NA NA NA NA 762 247 542 NA NA NA NA
1579388400.0 11623.0 62 192 661 90 0 NA NA 109 483 818 133 0 NA NA 1307 673 1094 187 1404 NA NA 717 500 1020 341 1446 NA NA
