Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 130.0 63 169 284 NA NA NA 139 581 422 NA NA NA 836 393 1557 NA NA NA 529 394 1744 NA NA NA
1579388400.0 1301.0 84 188 199 NA NA NA 166 543 329 NA NA NA 1486 402 1175 NA NA NA 870 387 1347 NA NA NA
1579388400.0 1301.17 67 152 205 NA NA NA 139 589 412 NA NA NA 1557 547 1240 NA NA NA 891 386 1729 NA NA NA
1579388400.0 131.0 63 123 276 NA NA NA 138 583 433 NA NA NA 1220 405 1547 NA NA NA 683 447 1725 NA NA NA
1579388400.0 1316.0 NA 210 332 0 NA NA NA 604 470 0 NA NA NA 421 1639 709 NA NA NA 626 1771 769 NA NA
1579388400.0 1319.0 NA 183 330 0 NA NA NA 603 463 0 NA NA NA 394 1611 707 NA NA NA 299 1740 767 NA NA
1579388400.0 1322.0 NA 167 332 0 NA NA NA 604 463 0 NA NA NA 433 1686 710 NA NA NA 478 1846 777 NA NA
1579388400.0 1325.6 NA 204 NA NA NA NA NA 348 NA NA NA NA NA 4605 NA NA NA NA NA 2779 NA NA NA NA
1579388400.0 1325.7 NA 211 0 NA NA NA NA 343 0 NA NA NA NA 4878 110 NA NA NA NA 2748 166 NA NA NA
1579388400.0 1325.8 NA 208 0 NA NA NA NA 316 0 NA NA NA NA 4753 122 NA NA NA NA 2828 178 NA NA NA
1579388400.0 1326.0 NA 177 340 0 NA NA NA 602 453 0 NA NA NA 425 1702 723 NA NA NA 319 1850 780 NA NA
1579388400.0 1327.0 NA 175 344 0 NA NA NA 604 477 0 NA NA NA 436 1684 739 NA NA NA 350 1702 792 NA NA
1579388400.0 1330.0 NA 177 345 0 NA NA NA 603 495 0 NA NA NA 466 1711 738 NA NA NA 543 1696 786 NA NA
