Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 1000.0 NA 387 151 0 46 NA NA NA 504 256 0 89 NA NA NA 2456 1193 554 240 NA NA NA 1856 1305 629 266 NA NA
1579388400.0 10024.4 NA 214 679 0 NA NA NA NA 473 846 0 NA NA NA NA 1381 2198 1654 NA NA NA NA 1426 2182 1841 NA NA NA
1579388400.0 1004.0 NA 308 160 0 0 0 0 NA 392 213 0 0 0 0 NA 822 290 64 84 225 221 NA 1006 405 122 166 275 257
1579388400.0 1322.0 NA 97 553 0 NA NA NA NA 380 670 0 NA NA NA NA 451 1512 565 NA NA NA NA 356 1971 760 NA NA NA
1579388400.0 1324.0 NA 115 567 0 NA NA NA NA 381 685 0 NA NA NA NA 533 1635 578 NA NA NA NA 740 2065 699 NA NA NA
1579388400.0 1325.5 NA 194 0 NA NA NA NA NA 285 0 NA NA NA NA NA 4215 111 NA NA NA NA NA 3851 174 NA NA NA NA
1579388400.0 134.0 NA 423 39 0 NA NA NA NA 516 76 0 NA NA NA NA 2903 113 67 NA NA NA NA 2400 180 143 NA NA NA
1579388400.0 134.701 NA 28 518 0 NA NA NA NA 80 600 0 NA NA NA NA 267 4283 595 NA NA NA NA 270 2445 640 NA NA NA
1579388400.0 134.71 NA 29 492 0 NA NA NA NA 77 596 0 NA NA NA NA 236 3910 595 NA NA NA NA 248 2708 749 NA NA NA
1579388400.0 135.8 142 NA NA NA NA NA NA 233 NA NA NA NA NA NA 386 NA NA NA NA NA NA 423 NA NA NA NA NA NA
1579388400.0 1356.0 86 103 568 0 142 NA NA 160 370 713 0 214 NA NA 2758 516 1568 571 577 NA NA 1041 420 1766 657 854 NA NA
1579388400.0 136.737 NA 74 557 0 NA NA NA NA 131 725 0 NA NA NA NA 570 11765 721 NA NA NA NA 566 4898 887 NA NA NA
1579388400.0 136.748 NA 75 540 0 NA NA NA NA 132 663 0 NA NA NA NA 556 10658 705 NA NA NA NA 550 4421 778 NA NA NA
1579388400.0 136.752 NA 75 543 0 NA NA NA NA 133 666 0 NA NA NA NA 721 11556 742 NA NA NA NA 603 4574 901 NA NA NA
1579388400.0 136.7611 NA 197 0 NA NA NA NA NA 282 0 NA NA NA NA NA 4704 118 NA NA NA NA NA 4002 256 NA NA NA NA
1579388400.0 136.7721 NA 193 0 NA NA NA NA NA 273 0 NA NA NA NA NA 4454 114 NA NA NA NA NA 3886 259 NA NA NA NA
1579388400.0 136.791 NA 200 539 0 NA NA NA NA 314 661 0 NA NA NA NA 1617 2849 1073 NA NA NA NA 1515 2567 1183 NA NA NA
1579388400.0 136.803 NA 206 539 0 NA NA NA NA 318 689 0 NA NA NA NA 1672 2858 1110 NA NA NA NA 1620 2584 1262 NA NA NA
