Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 1000.0 NA 172 87 0 34 NA 232 132 0 64 NA 1853 314 290 93 NA 1910 399 319 132
1579388400.0 1003.0 NA 166 0 NA NA NA 229 0 NA NA NA 2788 306 NA NA NA 2890 336 NA NA
1579388400.0 107.0 51 150 172 NA NA 88 202 221 NA NA 1661 371 445 NA NA 1703 426 490 NA NA
1579388400.0 108.0 50 152 174 NA NA 87 202 221 NA NA 1760 376 445 NA NA 1796 429 495 NA NA
1579388400.0 109.0 52 156 172 NA NA 88 204 222 NA NA 2103 388 478 NA NA 2138 441 526 NA NA
1579388400.0 11.0 NA 150 176 0 47 NA 206 228 0 74 NA 1019 1350 699 43 NA 1077 1396 733 64
1579388400.0 1102.0 NA 155 185 100 52 NA 212 226 153 96 NA 1966 2841 1737 140 NA 2055 2895 1796 165
1579388400.0 112.0 51 149 171 NA NA 88 201 220 NA NA 1680 357 430 NA NA 1718 408 464 NA NA
1579388400.0 113.0 52 154 172 NA NA 90 204 221 NA NA 2105 361 448 NA NA 2133 423 497 NA NA
1579388400.0 114.0 53 155 172 NA NA 90 204 222 NA NA 2068 374 477 NA NA 2099 429 523 NA NA
1579388400.0 115.0 53 156 173 NA NA 90 204 223 NA NA 2179 378 477 NA NA 2217 434 524 NA NA
1579388400.0 116.0 53 161 175 NA NA 90 204 221 NA NA 2298 374 465 NA NA 2339 435 512 NA NA
1579388400.0 117.0 54 152 174 NA NA 90 205 223 NA NA 2845 394 509 NA NA 2899 470 563 NA NA
1579388400.0 118.0 53 156 172 NA NA 91 206 224 NA NA 2759 409 529 NA NA 2812 467 577 NA NA
1579388400.0 119.0 52 149 171 NA NA 87 201 220 NA NA 1522 360 423 NA NA 1553 411 464 NA NA
1579388400.0 121.0 53 152 170 NA NA 91 205 223 NA NA 2825 411 537 NA NA 2924 478 602 NA NA
1579388400.0 125.0 51 150 171 NA NA 88 201 220 NA NA 1744 362 438 NA NA 1782 415 488 NA NA
1579388400.0 13.0 NA 160 173 0 NA NA 212 227 0 NA NA 2490 3677 672 NA NA 2593 3737 707 NA
1579388400.0 1302.0 61 157 124 NA NA 99 190 178 NA NA 3612 394 470 NA NA 3728 493 567 NA NA
1579388400.0 1303.0 64 154 123 NA NA 102 193 177 NA NA 9652 544 656 NA NA 10878 646 760 NA NA
1579388400.0 132.0 52 157 174 NA NA 88 205 223 NA NA 2150 387 481 NA NA 2187 442 530 NA NA
1579388400.0 1325.0 NA 160 180 0 58 NA 215 232 0 80 NA 440 554 620 117 NA 528 656 643 136
1579388400.0 1332.0 59 155 180 0 NA 97 206 229 0 NA 2065 378 449 615 NA 3262 514 544 636 NA
1579388400.0 1334.0 58 153 178 0 NA 96 205 229 0 NA 2376 381 459 611 NA 3594 515 549 630 NA
1579388400.0 1344.0 63 165 180 0 NA 104 206 228 0 NA 5763 410 494 610 NA 6961 489 595 629 NA
1579388400.0 1348.0 59 154 187 0 NA 95 205 228 0 NA 1183 364 435 619 NA 1254 498 515 648 NA
1579388400.0 1352.0 60 155 180 0 NA 97 206 230 0 NA 1863 376 455 635 NA 3052 523 555 668 NA
1579388400.0 1353.0 64 154 182 0 NA 108 207 229 0 NA 7870 414 485 643 NA 9057 518 556 669 NA
1579388400.0 1354.0 62 157 179 0 NA 103 208 229 0 NA 4237 396 481 615 NA 4331 509 578 649 NA
1579388400.0 1355.0 61 156 184 0 NA 99 210 232 0 NA 3891 445 567 617 NA 3986 569 658 645 NA
1579388400.0 14.0 NA 156 171 0 NA NA 211 222 0 NA NA 1404 1916 650 NA NA 1685 1984 693 NA
1579388400.0 140.52 NA 166 148 0 NA NA 206 191 0 NA NA 2298 1018 461 NA NA 2631 1098 498 NA
1579388400.0 15.0 NA 149 168 0 NA NA 206 217 0 NA NA 975 1229 605 NA NA 1035 1298 630 NA
1579388400.0 16.0 NA 152 168 0 NA NA 210 220 0 NA NA 1298 1526 614 NA NA 1374 1577 643 NA
1579388400.0 17.0 NA 149 168 0 NA NA 206 218 0 NA NA 1068 1335 603 NA NA 1128 1398 630 NA
1579388400.0 18.0 NA 149 168 0 NA NA 206 217 0 NA NA 957 1171 598 NA NA 1008 1230 622 NA
1579388400.0 19.0 NA 148 168 0 NA NA 206 218 0 NA NA 1017 1236 598 NA NA 1072 1293 623 NA
1579388400.0 2.0 53 144 116 NA NA 91 185 169 NA NA 2815 371 411 NA NA 2846 424 458 NA NA
1579388400.0 20.0 NA 152 171 0 NA NA 208 218 0 NA NA 1048 1395 618 NA NA 1129 1445 639 NA
1579388400.0 200.0 NA 166 189 0 NA NA 226 248 0 NA NA 691 1074 630 NA NA 773 1157 663 NA
1579388400.0 202.0 NA 167 192 0 NA NA 227 249 0 NA NA 755 1147 633 NA NA 836 1248 662 NA
1579388400.0 203.0 NA 166 187 0 NA NA 225 244 0 NA NA 673 954 621 NA NA 762 1033 646 NA
1579388400.0 205.0 NA 163 186 0 NA NA 223 243 0 NA NA 624 917 633 NA NA 702 992 658 NA
1579388400.0 21.0 NA 153 169 0 NA NA 209 219 0 NA NA 1174 1538 629 NA NA 1234 1586 657 NA
1579388400.0 22.0 NA 153 169 0 NA NA 207 219 0 NA NA 1264 1817 637 NA NA 1547 1882 669 NA
1579388400.0 23.0 NA 155 171 0 NA NA 211 221 0 NA NA 1313 1839 647 NA NA 1590 1906 685 NA
