Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 1303.0 64 116 NA NA NA 941 972 NA NA NA 12110 892 NA NA NA 12222 960 NA NA NA
1579388400.0 1303.17 63 165 NA NA NA 935 1023 NA NA NA 12852 1980 NA NA NA 13036 2052 NA NA NA
1579388400.0 13034.0 NA 274 NA NA NA NA 1194 NA NA NA NA 10957 NA NA NA NA 11310 NA NA NA
1579388400.0 13034.99 NA 183 278 NA NA NA 1091 1195 NA NA NA 8310 6828 NA NA NA 8609 6938 NA NA
1579388400.0 1306.0 NA 114 NA NA NA NA 1013 NA NA NA NA 857 NA NA NA NA 1183 NA NA NA
1579388400.0 1308.0 NA 107 155 49 NA NA 1006 1016 907 NA NA 990 949 277 NA NA 1082 1026 316 NA
1579388400.0 1309.0 NA 130 NA NA NA NA 1016 NA NA NA NA 1259 NA NA NA NA 1337 NA NA NA
1579388400.0 1310.0 NA 119 NA NA NA NA 1016 NA NA NA NA 1024 NA NA NA NA 1090 NA NA NA
1579388400.0 1311.0 NA 117 NA NA NA NA 1014 NA NA NA NA 894 NA NA NA NA 2157 NA NA NA
1579388400.0 1312.0 NA 114 NA NA NA NA 1015 NA NA NA NA 1343 NA NA NA NA 1450 NA NA NA
1579388400.0 1313.0 NA 116 NA NA NA NA 1018 NA NA NA NA 894 NA NA NA NA 990 NA NA NA
1579388400.0 1314.0 NA 115 NA NA NA NA 1014 NA NA NA NA 1308 NA NA NA NA 1408 NA NA NA
1579388400.0 1315.0 NA 109 NA NA NA NA 1011 NA NA NA NA 956 NA NA NA NA 1037 NA NA NA
