Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 130.0 59 89 447 NA NA NA NA 125 368 544 NA NA NA NA 801 339 412 NA NA NA NA 474 221 486 NA NA NA NA
1579388400.0 1301.0 79 94 178 NA NA NA NA 150 373 276 NA NA NA NA 1364 419 271 NA NA NA NA 678 460 301 NA NA NA NA
1579388400.0 131.0 59 82 452 NA NA NA NA 125 368 556 NA NA NA NA 1207 336 425 NA NA NA NA 516 227 458 NA NA NA NA
1579388400.0 1310.0 NA 101 574 0 NA NA NA NA 380 675 0 NA NA NA NA 386 583 406 NA NA NA NA 368 745 439 NA NA NA
1579388400.0 1311.0 NA 94 581 0 57 NA NA NA 383 696 0 106 NA NA NA 363 498 426 51 NA NA NA 312 702 444 103 NA NA
1579388400.0 1316.0 NA 92 570 0 NA NA NA NA 380 677 0 NA NA NA NA 356 505 387 NA NA NA NA 341 586 404 NA NA NA
1579388400.0 1317.0 NA 90 561 0 NA NA NA NA 378 674 0 NA NA NA NA 337 483 390 NA NA NA NA 354 608 442 NA NA NA
1579388400.0 1318.0 NA 91 560 0 NA NA NA NA 378 665 0 NA NA NA NA 354 510 387 NA NA NA NA 355 607 424 NA NA NA
1579388400.0 1319.0 NA 92 560 0 NA NA NA NA 384 679 0 NA NA NA NA 352 502 388 NA NA NA NA 376 626 411 NA NA NA
1579388400.0 1322.0 NA 93 567 0 NA NA NA NA 381 685 0 NA NA NA NA 365 565 393 NA NA NA NA 456 615 408 NA NA NA
1579388400.0 1323.0 NA 92 557 0 NA NA NA NA 378 676 0 NA NA NA NA 350 457 386 NA NA NA NA 437 556 404 NA NA NA
1579388400.0 1326.0 NA 98 569 0 NA NA NA NA 377 685 0 NA NA NA NA 384 522 399 NA NA NA NA 367 550 434 NA NA NA
1579388400.0 134.0 NA 475 32 0 NA NA NA NA 553 78 0 NA NA NA NA 1987 6 6 NA NA NA NA 1041 19 10 NA NA NA
1579388400.0 134.71 NA 32 509 0 NA NA NA NA 80 590 0 NA NA NA NA 180 2841 440 NA NA NA NA 164 1210 458 NA NA NA
1579388400.0 1349.0 NA 97 573 0 NA NA NA NA 377 692 0 NA NA NA NA 383 543 399 NA NA NA NA 339 513 413 NA NA NA
1579388400.0 135.1 338 0 94 NA NA NA NA 508 0 154 NA NA NA NA 670 116 140 NA NA NA NA 610 125 251 NA NA NA NA
1579388400.0 135.11 344 0 102 NA NA NA NA 517 0 158 NA NA NA NA 885 118 169 NA NA NA NA 591 127 177 NA NA NA NA
1579388400.0 135.3 280 0 96 NA NA NA NA 506 0 152 NA NA NA NA 460 100 112 NA NA NA NA 373 137 139 NA NA NA NA
1579388400.0 135.7 327 0 94 NA NA NA NA 506 0 152 NA NA NA NA 538 109 125 NA NA NA NA 470 116 179 NA NA NA NA
1579388400.0 1350.0 NA 100 574 0 NA NA NA NA 377 683 0 NA NA NA NA 406 550 404 NA NA NA NA 413 606 431 NA NA NA
1579388400.0 1351.0 NA 99 571 0 NA NA NA NA 383 685 0 NA NA NA NA 408 565 413 NA NA NA NA 320 735 423 NA NA NA
1579388400.0 136.735 NA 64 451 0 NA NA NA NA 127 539 0 NA NA NA NA 563 1079 459 NA NA NA NA 321 829 479 NA NA NA
1579388400.0 136.739 NA 67 569 0 NA NA NA NA 123 715 0 NA NA NA NA 487 11913 559 NA NA NA NA 283 3642 579 NA NA NA
1579388400.0 136.755 NA 59 578 0 NA NA NA NA 129 761 0 NA NA NA NA 426 11116 563 NA NA NA NA 249 3402 586 NA NA NA
1579388400.0 136.758 NA 59 563 0 NA NA NA NA 122 705 0 NA NA NA NA 460 11692 562 NA NA NA NA 250 3468 582 NA NA NA
1579388400.0 136.759 NA 65 578 0 NA NA NA NA 125 747 0 NA NA NA NA 457 13300 567 NA NA NA NA 264 3896 595 NA NA NA
