Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 136.776 NA 65 269 0 NA NA NA 140 333 0 NA NA NA 2193 26169 1167 NA NA NA 3866 26986 1219 NA NA
1579388400.0 136.7801 NA 104 0 NA NA NA NA 175 0 NA NA NA NA 1779 1147 NA NA NA NA 1954 1233 NA NA NA
1579388400.0 136.7802 NA 72 0 NA NA NA NA 139 0 NA NA NA NA 1143 719 NA NA NA NA 1297 803 NA NA NA
1579388400.0 136.7803 NA 99 0 NA NA NA NA 176 0 NA NA NA NA 1975 980 NA NA NA NA 2329 1076 NA NA NA
1579388400.0 1365.0 NA 104 266 0 NA NA NA 186 324 0 NA NA NA 1174 3280 804 NA NA NA 1318 3450 849 NA NA
1579388400.0 1366.0 NA 105 268 0 NA NA NA 184 323 0 NA NA NA 1680 3534 781 NA NA NA 2413 3699 834 NA NA
1579388400.0 140.52 NA 189 187 0 NA NA NA 273 221 0 NA NA NA 4275 3006 351 NA NA NA 4484 3135 388 NA NA
1579388400.0 148.0 56 161 288 0 NA NA 98 195 351 0 NA NA 2277 1660 3172 1304 NA NA 2400 1757 3332 1362 NA NA
1579388400.0 149.0 55 156 294 0 NA NA 99 196 353 0 NA NA 2852 1556 2987 1287 NA NA 3377 1656 3161 1347 NA NA
1579388400.0 150.0 65 160 222 0 NA NA 110 195 271 0 NA NA 5820 1463 1574 351 NA NA 6332 1551 1701 395 NA NA
1579388400.0 2.0 59 83 191 NA NA NA 111 118 239 NA NA NA 7425 1062 2214 NA NA NA 7753 1497 2497 NA NA NA
1579388400.0 2017.8 100 NA NA NA NA NA 140 NA NA NA NA NA 2049 NA NA NA NA NA 2225 NA NA NA NA NA
1579388400.0 2018.8 99 NA NA NA NA NA 140 NA NA NA NA NA 2052 NA NA NA NA NA 2208 NA NA NA NA NA
1579388400.0 20434.1 NA 174 168 0 NA NA NA 260 214 0 NA NA NA 3481 2129 587 NA NA NA 3706 2247 632 NA NA
1579388400.0 20661.97 338 NA NA NA NA NA 444 NA NA NA NA NA 19483 NA NA NA NA NA 20482 NA NA NA NA NA
1579388400.0 250206.118 57 222 229 162 NA NA 103 307 287 224 NA NA 2912 3441 2849 1025 NA NA 3245 3627 2982 1112 NA NA
1579388400.0 250399.0 106 NA NA NA NA NA 189 NA NA NA NA NA 3580 NA NA NA NA NA 3814 NA NA NA NA NA
1579388400.0 250399.18 130 NA NA NA NA NA 212 NA NA NA NA NA 4941 NA NA NA NA NA 5148 NA NA NA NA NA
1579388400.0 280.0 58 87 241 0 NA NA 165 118 302 0 NA NA 1210 758 2874 765 NA NA 1313 838 3048 806 NA NA
1579388400.0 3.0 59 83 186 NA NA NA 109 119 240 NA NA NA 9582 643 2129 NA NA NA 9704 733 2256 NA NA NA
