Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5
1579388400.0 10224.0 NA 124 199 0 NA NA 186 277 0 NA NA 2160 1767 216 NA NA 3110 2508 234 NA
1579388400.0 10225.0 NA 125 201 0 NA NA 191 279 0 NA NA 2005 1628 219 NA NA 2759 2336 253 NA
1579388400.0 117.0 54 77 190 NA NA 99 149 254 NA NA 4017 306 419 NA NA 4283 339 461 NA NA
1579388400.0 1303.0 64 155 182 NA NA 110 198 240 NA NA 5844 551 1451 NA NA 5947 632 1551 NA NA
1579388400.0 133.0 55 82 191 NA NA 101 149 254 NA NA 4393 302 490 NA NA 4673 345 550 NA NA
1579388400.0 134.701 NA 37 234 0 NA NA 80 306 0 NA NA 123 3412 379 NA NA 165 3698 407 NA
1579388400.0 134.705 NA 36 237 0 NA NA 82 319 0 NA NA 139 4716 398 NA NA 152 5189 423 NA
1579388400.0 134.706 NA 41 235 0 NA NA 81 307 0 NA NA 131 4844 366 NA NA 193 5941 456 NA
1579388400.0 134.708 NA 43 227 0 NA NA 79 302 0 NA NA 133 4113 375 NA NA 160 4420 422 NA
1579388400.0 134.803 NA 37 228 0 NA NA 82 303 0 NA NA 159 5150 365 NA NA 242 6245 440 NA
1579388400.0 134.903 NA 45 226 0 NA NA 83 297 0 NA NA 150 3795 352 NA NA 188 4068 370 NA
1579388400.0 134.909 NA 39 225 0 NA NA 82 301 0 NA NA 141 3936 367 NA NA 222 5010 390 NA
1579388400.0 134.91 NA 33 225 0 NA NA 81 294 0 NA NA 148 3605 381 NA NA 179 4041 407 NA
1579388400.0 134.911 NA 42 226 0 NA NA 81 300 0 NA NA 148 3822 366 NA NA 170 4077 418 NA
1579388400.0 135.2 206 0 105 NA NA 279 0 149 NA NA 406 171 359 NA NA 478 188 456 NA NA
1579388400.0 135.4 220 0 107 NA NA 299 0 157 NA NA 587 206 374 NA NA 731 242 440 NA NA
1579388400.0 135.5 218 0 108 NA NA 296 0 154 NA NA 531 194 368 NA NA 647 210 460 NA NA
1579388400.0 135.9 221 0 106 NA NA 299 0 156 NA NA 511 188 362 NA NA 663 200 414 NA NA
1579388400.0 1356.0 62 157 252 0 110 108 218 327 0 161 3273 425 1541 1248 386 3422 496 1626 1273 456
1579388400.0 136.721 NA 160 245 0 NA NA 227 319 0 NA NA 2300 5431 807 NA NA 3876 5562 844 NA
1579388400.0 136.722 NA 159 264 0 NA NA 234 346 0 NA NA 2796 6438 745 NA NA 3878 6537 766 NA
1579388400.0 136.723 NA 161 246 0 NA NA 228 323 0 NA NA 2400 5891 859 NA NA 3973 6010 886 NA
1579388400.0 136.724 NA 159 264 0 NA NA 236 347 0 NA NA 3699 7235 686 NA NA 5284 7412 718 NA
1579388400.0 136.725 NA 162 276 0 NA NA 230 354 0 NA NA 2636 6289 753 NA NA 4207 6394 775 NA
1579388400.0 136.726 NA 166 252 0 NA NA 230 331 0 NA NA 2917 6577 706 NA NA 4030 6685 743 NA
1579388400.0 136.727 NA 185 267 0 NA NA 284 342 0 NA NA 2793 6264 766 NA NA 4362 6359 793 NA
1579388400.0 136.728 NA 188 261 0 NA NA 280 348 0 NA NA 3068 6726 703 NA NA 4668 6844 791 NA
1579388400.0 136.729 NA 159 252 0 NA NA 228 330 0 NA NA 2576 6530 756 NA NA 3612 6649 794 NA
1579388400.0 136.73 NA 163 273 0 NA NA 225 355 0 NA NA 2745 6425 752 NA NA 4317 6526 781 NA
1579388400.0 136.731 NA 163 280 0 NA NA 234 366 0 NA NA 2823 6513 731 NA NA 4420 6605 756 NA
1579388400.0 136.732 NA 154 245 0 NA NA 227 321 0 NA NA 1749 5006 779 NA NA 1837 5169 801 NA
1579388400.0 136.7321 NA 154 265 0 NA NA 227 338 0 NA NA 1779 5247 762 NA NA 1888 5370 788 NA
1579388400.0 136.734 NA 162 251 0 NA NA 230 330 0 NA NA 2743 6375 755 NA NA 3857 6461 777 NA
1579388400.0 1360.0 64 161 249 0 NA 157 221 316 0 NA 2934 407 1136 1316 NA 4588 474 1219 1348 NA
1579388400.0 1362.0 60 154 245 0 NA 157 214 311 0 NA 2567 405 1060 1307 NA 4528 460 1126 1337 NA
1579388400.0 13992501.0 NA 195 321 0 NA NA 278 406 0 NA NA 2258 3267 1322 NA NA 2864 3698 1359 NA
1579388400.0 13992502.0 NA 203 325 0 NA NA 277 412 0 NA NA 2275 3123 1333 NA NA 2915 3674 1378 NA
1579388400.0 145.0 NA 230 281 0 NA NA 304 358 0 NA NA 2311 2088 167 NA NA 2511 2240 186 NA
1579388400.0 2.0 55 77 131 NA NA 100 146 190 NA NA 4183 279 825 NA NA 4442 324 867 NA NA
1579388400.0 204.0 53 89 208 0 NA 97 151 274 0 NA 2628 518 774 351 NA 2912 671 900 374 NA
1579388400.0 25.0 NA 80 207 0 82 NA 146 274 0 124 NA 1727 2061 388 87 NA 1871 2312 407 100
1579388400.0 250400.0 226 0 110 NA NA 312 0 157 NA NA 913 197 471 NA NA 1113 214 529 NA NA
1579388400.0 250402.0 237 0 110 NA NA 312 0 158 NA NA 1013 202 561 NA NA 1135 220 634 NA NA
1579388400.0 250403.0 235 0 107 NA NA 311 0 157 NA NA 862 184 503 NA NA 981 198 578 NA NA
1579388400.0 250405.0 241 0 108 NA NA 310 0 156 NA NA 805 187 479 NA NA 914 206 533 NA NA
1579388400.0 250408.0 227 0 107 NA NA 312 0 154 NA NA 902 196 475 NA NA 1086 211 519 NA NA
1579388400.0 250409.0 237 0 111 NA NA 317 0 162 NA NA 1200 210 608 NA NA 1314 236 697 NA NA
1579388400.0 25202.0 NA 200 322 0 NA NA 278 411 0 NA NA 2358 3283 1311 NA NA 2938 3898 1347 NA
1579388400.0 25210.0 65 209 327 0 NA 157 281 397 0 NA 2914 1726 2464 1299 NA 4740 2163 2809 1347 NA
1579388400.0 25211.0 60 198 320 0 NA 157 274 400 0 NA 2349 2111 2571 1356 NA 3593 2879 3116 1386 NA
1579388400.0 25212.0 62 201 327 0 NA 157 275 399 0 NA 2616 2093 2762 1251 NA 4324 2610 3199 1283 NA
1579388400.0 25213.0 63 204 327 0 NA 157 275 413 0 NA 3656 2244 2992 1125 NA 5300 2953 3521 1162 NA
1579388400.0 25402.0 262 0 107 NA NA 366 0 156 NA NA 2714 212 519 NA NA 3103 229 603 NA NA
1579388400.0 25408.0 266 0 110 NA NA 374 0 157 NA NA 3257 216 570 NA NA 3675 233 648 NA NA
1579388400.0 280.0 58 84 190 0 NA 169 148 254 0 NA 4134 292 388 326 NA 4374 326 445 352 NA
1579388400.0 300.0 81 205 284 0 NA 133 279 356 0 NA 1962 846 1475 166 NA 2224 994 1625 181 NA
1579388400.0 301.0 81 211 286 0 NA 132 279 356 0 NA 2508 851 1608 167 NA 3143 963 1726 183 NA
1579388400.0 302.0 81 207 283 0 NA 136 284 356 0 NA 1696 845 1487 166 NA 1950 997 1623 184 NA
1579388400.0 39.0 NA 80 197 0 NA NA 146 258 0 NA NA 1744 3101 392 NA NA 1884 3335 425 NA
1579388400.0 4.41 NA 30 218 0 NA NA 73 296 0 NA NA 123 3850 350 NA NA 168 4216 372 NA
1579388400.0 4.42 NA 36 224 0 NA NA 75 307 0 NA NA 120 4551 379 NA NA 140 4614 409 NA
1579388400.0 4.45 NA 40 226 0 NA NA 74 297 0 NA NA 132 4996 349 NA NA 155 5047 367 NA
