Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 10824.501 NA 154 85 0 NA NA NA NA NA NA 230 122 0 NA NA NA NA NA NA 2371 1359 388 NA NA NA NA NA NA 2721 1625 441 NA NA NA NA NA
1579388400.0 10824.502 NA 150 85 0 NA NA NA NA NA NA 230 122 0 NA NA NA NA NA NA 2404 1174 335 NA NA NA NA NA NA 2795 2007 392 NA NA NA NA NA
1579388400.0 10825.0 NA 147 323 0 74 164 NA NA NA NA 229 389 0 110 223 NA NA NA NA 2210 3508 1098 547 1213 NA NA NA NA 2985 3796 1152 636 1410 NA NA NA
1579388400.0 10842.0 NA 147 323 0 76 162 NA NA NA NA 228 390 0 112 222 NA NA NA NA 2789 3812 1223 602 1255 NA NA NA NA 3927 4013 1293 698 1359 NA NA NA
1579388400.0 10842.501 NA 153 85 0 NA NA NA NA NA NA 228 121 0 NA NA NA NA NA NA 2019 1131 544 NA NA NA NA NA NA 2841 1397 1068 NA NA NA NA NA
1579388400.0 10842.502 NA 151 84 0 NA NA NA NA NA NA 228 121 0 NA NA NA NA NA NA 2092 1135 313 NA NA NA NA NA NA 2487 1868 385 NA NA NA NA NA
1579388400.0 109.0 59 86 247 NA NA NA NA NA NA 111 123 303 NA NA NA NA NA NA 7394 1001 3351 NA NA NA NA NA NA 8843 1098 3620 NA NA NA NA NA NA
1579388400.0 11.0 NA 94 258 0 65 NA NA NA NA NA 171 319 0 102 NA NA NA NA NA 4649 2995 996 453 NA NA NA NA NA 4854 3224 1171 546 NA NA NA NA
1579388400.0 110.0 56 81 249 NA NA NA NA NA NA 95 118 300 NA NA NA NA NA NA 1403 1105 3508 NA NA NA NA NA NA 1853 2102 3754 NA NA NA NA NA NA
1579388400.0 11634.501 NA 193 104 0 NA NA NA NA NA NA 289 139 0 NA NA NA NA NA NA 3667 1741 489 NA NA NA NA NA NA 4659 3385 621 NA NA NA NA NA
1579388400.0 11634.502 NA 192 102 0 NA NA NA NA NA NA 290 139 0 NA NA NA NA NA NA 4045 1205 302 NA NA NA NA NA NA 5019 1367 375 NA NA NA NA NA
1579388400.0 11650.501 NA 197 102 0 NA NA NA NA NA NA 286 138 0 NA NA NA NA NA NA 3266 1861 411 NA NA NA NA NA NA 3534 3665 463 NA NA NA NA NA
1579388400.0 11650.502 NA 194 102 0 NA NA NA NA NA NA 286 138 0 NA NA NA NA NA NA 3362 1777 404 NA NA NA NA NA NA 3585 3112 460 NA NA NA NA NA
1579388400.0 119.0 59 86 244 NA NA NA NA NA NA 109 119 301 NA NA NA NA NA NA 3704 957 3570 NA NA NA NA NA NA 3823 1121 3815 NA NA NA NA NA NA
1579388400.0 120.0 52 82 243 NA NA NA NA NA NA 98 118 300 NA NA NA NA NA NA 1301 1004 3765 NA NA NA NA NA NA 1790 1356 4584 NA NA NA NA NA NA
1579388400.0 122.0 58 87 242 NA NA NA NA NA NA 109 121 301 NA NA NA NA NA NA 1924 728 3365 NA NA NA NA NA NA 2522 836 3998 NA NA NA NA NA NA
1579388400.0 123.1 246 NA NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA NA 1900 NA NA NA NA NA NA NA NA 2031 NA NA NA NA NA NA NA NA
1579388400.0 123.2 245 NA NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA NA 2289 NA NA NA NA NA NA NA NA 2680 NA NA NA NA NA NA NA NA
1579388400.0 123.3 246 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 1738 NA NA NA NA NA NA NA NA 1879 NA NA NA NA NA NA NA NA
1579388400.0 124.1 248 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 1522 NA NA NA NA NA NA NA NA 1650 NA NA NA NA NA NA NA NA
1579388400.0 124.2 245 NA NA NA NA NA NA NA NA 296 NA NA NA NA NA NA NA NA 1889 NA NA NA NA NA NA NA NA 2179 NA NA NA NA NA NA NA NA
1579388400.0 124.4 246 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 1699 NA NA NA NA NA NA NA NA 1829 NA NA NA NA NA NA NA NA
1579388400.0 124.5 250 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 1534 NA NA NA NA NA NA NA NA 1640 NA NA NA NA NA NA NA NA
1579388400.0 124.6 246 NA NA NA NA NA NA NA NA 295 NA NA NA NA NA NA NA NA 1671 NA NA NA NA NA NA NA NA 1804 NA NA NA NA NA NA NA NA
1579388400.0 125.0 57 85 240 NA NA NA NA NA NA 109 122 300 NA NA NA NA NA NA 5057 988 3508 NA NA NA NA NA NA 5437 1080 3844 NA NA NA NA NA NA
1579388400.0 126.0 52 83 247 NA NA NA NA NA NA 99 118 300 NA NA NA NA NA NA 2128 870 3487 NA NA NA NA NA NA 2289 987 3714 NA NA NA NA NA NA
1579388400.0 127.0 54 82 242 NA NA NA NA NA NA 95 118 299 NA NA NA NA NA NA 2864 984 3610 NA NA NA NA NA NA 4128 1154 4237 NA NA NA NA NA NA
1579388400.0 128.0 55 83 245 NA NA NA NA NA NA 94 120 299 NA NA NA NA NA NA 1296 1002 3525 NA NA NA NA NA NA 1741 1261 3892 NA NA NA NA NA NA
1579388400.0 129.0 55 83 245 NA NA NA NA NA NA 94 118 299 NA NA NA NA NA NA 1282 975 3706 NA NA NA NA NA NA 1728 1213 4044 NA NA NA NA NA NA
1579388400.0 13.0 NA 85 249 0 NA NA NA NA NA NA 165 306 0 NA NA NA NA NA NA 1139 4000 920 NA NA NA NA NA NA 1422 4167 975 NA NA NA NA NA
1579388400.0 130.0 55 83 247 NA NA NA NA NA NA 95 117 300 NA NA NA NA NA NA 1406 964 3514 NA NA NA NA NA NA 1871 1192 3889 NA NA NA NA NA NA
1579388400.0 1301.0 59 102 192 NA NA NA NA NA NA 107 141 247 NA NA NA NA NA NA 2951 910 2513 NA NA NA NA NA NA 3692 998 3140 NA NA NA NA NA NA
1579388400.0 1301.17 55 154 213 NA NA NA NA NA NA 100 193 266 NA NA NA NA NA NA 3109 1835 2407 NA NA NA NA NA NA 3257 1933 2581 NA NA NA NA NA NA
1579388400.0 1306.0 NA 106 265 0 NA NA NA NA NA NA 183 328 0 NA NA NA NA NA NA 1185 4316 971 NA NA NA NA NA NA 2122 5747 1054 NA NA NA NA NA
1579388400.0 1307.0 NA 101 151 56 0 NA NA NA NA NA 178 189 83 0 NA NA NA NA NA 1488 1246 357 527 NA NA NA NA NA 2768 1468 422 585 NA NA NA NA
